,Police Department,Officers per 10K Population,Officers,Total Employees per 10K Population,Total Employees
670,"Leesburg, Virginia",12.8,68,15.7,83
671,"Harrisonburg, Virginia",17.9,95,21.3,113
672,"Stratford, Connecticut",18.9,100,20.2,107
673,"Placentia, California",8.5,45,12.9,68
674,"Caldwell, Idaho",12.1,64,14.8,78
675,"Perth Amboy, New Jersey",22.6,119,27.3,144
676,"Burlington, North Carolina",22.9,121,30.5,161
677,"Delano, California",9.5,50,13.1,69
678,"Albany, Oregon",11.6,61,16.9,89
679,"Elkhart, Indiana",22.9,120,27.0,142
680,"Peabody, Massachusetts",17.5,92,21.1,111
681,"La Crosse, Wisconsin",17.5,92,20.8,109
682,"Brookhaven, Georgia",14.7,77,16.2,85
683,"Glendora, California",9.7,51,16.4,86
684,"Howell Township, New Jersey",16.4,86,19.5,102
685,"Florissant, Missouri",16.3,85,20.7,108
686,"Enid, Oklahoma",18.8,98,23.4,122
687,"Hoffman Estates, Illinois",16.9,88,19.7,103
688,"Pinellas Park, Florida",19.4,101,23.2,121
689,"Minnetonka, Minnesota",10.0,52,13.3,69
690,"Joplin, Missouri",19.6,102,28.1,146
691,"Casa Grande, Arizona",14.8,77,18.7,97
692,"Coral Gables, Florida",30.8,160,44.1,229
693,"Grand Island, Nebraska",16.4,85,19.6,102
694,"Kentwood, Michigan",13.1,68,15.6,81
695,"Tigard, Oregon",14.1,73,17.0,88
696,"Apple Valley, Minnesota",10.1,52,11.6,60
697,"Minot, North Dakota",15.8,81,21.1,108
698,"Plainfield, New Jersey",24.6,126,29.7,152
699,"Southampton Town, New York",18.4,94,24.6,126
700,"Olympia, Washington",13.1,67,18.6,95
701,"Burien, Washington",10.2,52,14.5,74
702,"Irondequoit Town, New York",9.6,49,11.8,60
703,"Logan, Utah",10.8,55,16.5,84
704,"East Hartford, Connecticut",24.2,123,30.2,153
705,"Galveston, Texas",28.2,143,35.3,179
706,"Edina, Minnesota",10.1,51,14.2,72
707,"Parker, Colorado",14.3,72,22.4,113
708,"Azusa, California",11.3,57,18.7,94
709,"Lakewood, Ohio",19.9,100,24.2,122
710,"Coeur d'Alene, Idaho",16.0,80,19.5,98
711,"Summerville, South Carolina",18.7,94,22.9,115
712,"Methuen, Massachusetts",18.6,93,22.2,111
713,"Downers Grove, Illinois",14.2,71,19.6,98
714,"Troy, New York",25.3,126,27.9,139
715,"Bedford, Texas",15.3,76,25.3,126
716,"Apopka, Florida",18.9,94,25.7,128
717,"Murray, Utah",15.1,75,18.1,90
718,"Wilson, North Carolina",21.9,109,24.9,124
719,"Monroe, Louisiana",27.6,137,36.2,180
720,"Stillwater, Oklahoma",14.5,72,22.4,111
721,"Maricopa, Arizona",13.1,65,17.3,86
722,"Cypress, California",10.7,53,13.9,69
723,"Collierville, Tennessee",20.0,99,27.7,137
724,"Charleston, West Virginia",33.0,163,37.8,187
725,"Dunwoody, Georgia",11.0,54,13.0,64
726,"Covina, California",12.0,59,17.7,87
727,"Cedar Hill, Texas",13.0,64,17.7,87
728,"Haverford Township, Pennsylvania",14.2,70,16.7,82
729,"East Brunswick Township, New Jersey",17.1,84,22.4,110
730,"Harrisburg, Pennsylvania",27.1,133,31.6,155
731,"Saginaw, Michigan",10.8,53,12.5,61
732,"St. Louis Park, Minnesota",10.9,53,13.7,67
733,"Middletown, Ohio",13.9,68,21.1,103
734,"Sheboygan, Wisconsin",16.8,82,20.7,101
735,"Niagara Falls, New York",32.3,157,36.6,178
736,"Lower Paxton Township, Pennsylvania",12.1,59,13.6,66
737,"Roswell, New Mexico",16.3,79,21.2,103
738,"Portage, Michigan",11.1,54,15.2,74
739,"Huntington, West Virginia",21.6,105,23.9,116
740,"East Lansing, Michigan",11.1,54,13.8,67
741,"Ceres, California",9.5,46,12.8,62
742,"Mishawaka, Indiana",22.2,107,25.1,121
743,"Bloomfield, New Jersey",25.1,121,30.3,146
744,"Texas City, Texas",12.7,61,17.0,82
745,"Twin Falls, Idaho",14.8,71,21.2,102
746,"Smyrna, Tennessee",16.0,77,20.8,100
747,"Glenview, Illinois",14.4,69,15.4,74
748,"Chesterfield, Missouri",18.8,90,20.9,100
749,"Alexandria, Louisiana",32.8,157,39.6,190
750,"Union Township, Clermont County, Ohio",10.0,48,12.9,62
751,"Palm Springs, California",18.4,88,26.5,127
752,"Salina, Kansas",15.3,73,20.5,98
753,"San Luis Obispo, California",11.5,55,16.3,78
754,"Wylie, Texas",12.8,61,13.8,66
755,"Wauwatosa, Wisconsin",18.2,87,23.7,113
756,"Madison, Alabama",16.8,80,22.2,106
757,"Roseville, Michigan",14.5,69,15.1,72
758,"Draper, Utah",8.2,39,9.9,47
759,"Washington Township, Gloucester County, New Jersey",16.2,77,17.7,84
760,"East Providence, Rhode Island",19.4,92,23.4,111
761,"Euclid, Ohio",19.4,92,20.7,98
762,"West Orange, New Jersey",20.5,97,23.4,111
763,"Jeffersonville, Indiana",17.3,82,18.4,87
764,"Apex, North Carolina",15.6,74,19.2,91
765,"St. Cloud, Florida",16.7,79,24.7,117
766,"Littleton, Colorado",14.8,70,20.1,95
767,"Redford Township, Michigan",11.9,56,13.8,65
768,"Lacey, Washington",10.6,50,12.3,58
769,"Lincoln, California",4.2,20,5.7,27
770,"Keller, Texas",10.2,48,17.9,84
771,"Charlottesville, Virginia",26.4,124,33.4,157
772,"Kannapolis, North Carolina",16.9,79,22.6,106
773,"Mentor, Ohio",17.3,81,23.5,110
774,"Everett, Massachusetts",21.6,101,23.5,110
775,"Mansfield, Ohio",17.6,82,24.9,116
776,"Middletown, Connecticut",23.4,109,26.2,122
777,"Beavercreek, Ohio",10.1,47,13.1,61
778,"Bentonville, Arkansas",14.6,68,21.1,98
779,"Elmhurst, Illinois",14.5,67,19.2,89
780,"Hamburg Town, New York",13.3,61,16.9,78
781,"Biloxi, Mississippi",27.6,127,38.5,177
782,"Newark, California",12.0,55,16.8,77
783,"South Brunswick Township, New Jersey",17.4,80,23.1,106
784,"Dublin, Ohio",13.7,63,19.8,91
785,"Binghamton, New York",28.6,131,31.7,145
786,"West Seneca Town, New York",14.9,68,17.7,81
787,"Greenburgh Town, New York",24.5,112,30.6,140
788,"Titusville, Florida",18.8,86,26.9,123
789,"Evesham Township, New Jersey",16.7,76,18.6,85
790,"Middletown Township, Pennsylvania",12.3,56,13.7,62
791,"Ocoee, Florida",17.0,77,19.6,89
792,"Bridgewater Township, New Jersey",16.4,74,18.1,82
793,"Beaumont, California",8.4,38,12.4,56
794,"Altoona, Pennsylvania",13.5,61,15.3,69
795,"Sayreville, New Jersey",18.6,84,21.3,96
796,"Burleson, Texas",13.5,61,18.2,82
797,"Urbandale, Iowa",11.3,51,13.1,59
798,"Arlington, Massachusetts",14.7,66,18.7,84
799,"Fort Pierce, Florida",24.0,108,29.6,133
800,"Hackensack, New Jersey",26.5,119,30.7,138
801,"Chesterfield Township, Michigan",9.1,41,12.2,55
802,"Monroe Township, Middlesex County, New Jersey",12.2,55,16.0,72
803,"Oakland Park, Florida",18.9,85,21.4,96
804,"Wallingford, Connecticut",15.4,69,20.1,90
805,"Bozeman, Montana",13.9,62,15.6,70
806,"Cleveland Heights, Ohio",21.3,95,23.3,104
807,"Strongsville, Ohio",15.9,71,19.0,85
808,"Haltom City, Texas",15.9,71,18.9,84
809,"Lompoc, California",10.1,45,15.3,68
810,"Blacksburg, Virginia",13.7,61,15.9,71
811,"Webster Town and Village, New York",7.2,32,8.1,36
812,"North Miami Beach, Florida",23.9,106,31.5,140
813,"Cleveland, Tennessee",19.1,85,23.2,103
814,"Enfield, Connecticut",21.2,94,25.8,114
815,"North Lauderdale, Florida",11.5,51,13.1,58
816,"Attleboro, Massachusetts",17.9,79,20.6,91
817,"El Centro, California",10.9,48,16.1,71
818,"Oro Valley, Arizona",22.7,100,29.0,128
819,"York, Pennsylvania",23.9,105,27.3,120
820,"Morgan Hill, California",8.9,39,13.4,59
821,"Bountiful, Utah",8.2,36,12.0,53
822,"Pine Bluff, Arkansas",32.5,143,39.3,173
823,"Barnstable, Massachusetts",25.7,113,29.1,128
