,Police Department,Officers per 10K Population,Officers,Total Employees per 10K Population,Total Employees
1338,"Anderson, South Carolina",33.1,91,46.5,128
1339,"Spring Township, Berks County, Pennsylvania",10.5,29,10.9,30
1340,"Neptune Township, New Jersey",26.5,73,30.2,83
1341,"Belmont, California",10.9,30,16.0,44
1342,"West Chicago, Illinois",16.7,46,18.6,51
1343,"Wheeling, West Virginia",24.7,68,28.0,77
1344,"Glen Cove, New York",18.2,50,19.7,54
1345,"Shaker Heights, Ohio",21.8,60,29.8,82
1346,"Whitehall Township, Pennsylvania",16.4,45,18.2,50
1347,"Maryland Heights, Missouri",28.5,78,34.7,95
1348,"Tualatin, Oregon",13.5,37,16.4,45
1349,"Winchester, Virginia",26.3,72,35.1,96
1350,"Allen Park, Michigan",14.7,40,15.8,43
1351,"Mason City, Iowa",16.9,46,18.7,51
1352,"Casselberry, Florida",17.6,48,20.9,57
1353,"Saratoga Springs, Utah",11.4,31,15.1,41
1354,"Gladstone, Missouri",15.8,43,21.4,58
1355,"Thomasville, North Carolina",24.3,66,26.6,72
1356,"New Milford, Connecticut",18.4,50,22.9,62
1357,"New London, Connecticut",28.4,77,34.0,92
1358,"Wakefield, Massachusetts",16.6,45,17.0,46
1359,"Horn Lake, Mississippi",18.5,50,24.7,67
1360,"Ocean Township, Monmouth County, New Jersey",22.5,61,27.3,74
1361,"Garden City, Kansas",22.9,62,33.7,91
1362,"Bernards Township, New Jersey",14.1,38,15.9,43
1363,"Jeffersontown, Kentucky",18.1,49,21.8,59
1364,"Winona, Minnesota",14.1,38,15.6,42
1365,"Eureka, California",17.4,47,26.3,71
1366,"Stafford Township, New Jersey",18.9,51,26.3,71
1367,"Rockledge, Florida",18.5,50,26.3,71
1368,"Paramus, New Jersey",32.3,87,40.1,108
1369,"Easton, Pennsylvania",23.0,62,24.5,66
1370,"Springettsbury Township, Pennsylvania",11.9,32,13.0,35
1371,"Mount Pleasant Town, New York",15.2,41,17.5,47
1372,"West Linn, Oregon",10.8,29,12.3,33
1373,"Wooster, Ohio",14.9,40,16.0,43
1374,"Zionsville, Indiana",10.8,29,11.2,30
1375,"Plymouth Township, Michigan",11.2,30,17.9,48
1376,"Auburn, New York",24.6,66,26.4,71
1377,"New Windsor Town, New York",14.2,38,17.9,48
1378,"Alton, Illinois",21.6,58,28.0,75
1379,"Hamilton Township, Atlantic County, New Jersey",18.6,50,27.2,73
1380,"Garden City, Michigan",10.5,28,11.2,30
1381,"Watertown, New York",24.3,65,25.4,68
1382,"West Milford Township, New Jersey",16.5,44,19.1,51
1383,"Greenville, Texas",20.2,54,27.4,73
1384,"Horsham Township, Pennsylvania",15.0,40,17.6,47
1385,"Bristol, Tennessee",25.9,69,33.0,88
1386,"Carrollton, Georgia",23.7,63,28.6,76
1387,"Mahwah Township, New Jersey",19.6,52,22.6,60
1388,"Stevens Point, Wisconsin",16.5,44,18.1,48
1389,"McHenry, Illinois",17.3,46,21.4,57
1390,"Vernon Hills, Illinois",15.8,42,26.7,71
1391,"Batavia, Illinois",15.1,40,17.3,46
1392,"Statesville, North Carolina",27.1,72,34.6,92
1393,"Yukon, Oklahoma",16.2,43,23.0,61
1394,"Paradise, California",7.2,19,12.4,33
1395,"Kankakee, Illinois",25.7,68,27.2,72
1396,"Fremont, Nebraska",14.0,37,15.9,42
1397,"Superior, Wisconsin",21.2,56,23.1,61
1398,"Laurel, Maryland",24.2,64,32.2,85
1399,"Genoa Township, Ohio",9.1,24,9.8,26
1400,"Carbondale, Illinois",25.4,67,31.5,83
1401,"Lower Providence Township, Pennsylvania",11.8,31,12.5,33
1402,"Upper Dublin Township, Pennsylvania",15.2,40,17.5,46
1403,"Wethersfield, Connecticut",18.2,48,23.2,61
1404,"Maple Valley, Washington",7.2,19,9.1,24
1405,"Mount Pleasant, Wisconsin",18.3,48,20.2,53
1406,"Medina, Ohio",13.7,36,17.5,46
1407,"Ramsey, Minnesota",9.1,24,10.3,27
1408,"Montgomery Township, Pennsylvania",13.7,36,17.1,45
1409,"South Pasadena, California",13.3,35,18.7,49
1410,"Asheboro, North Carolina",27.1,71,30.1,79
1411,"Kingsville, Texas",17.9,47,25.5,67
1412,"Mint Hill, North Carolina",11.8,31,13.0,34
1413,"Barberton, Ohio",16.0,42,16.8,44
1414,"North Kingstown, Rhode Island",16.8,44,20.3,53
1415,"Madison, Mississippi",25.7,67,32.9,86
1416,"Newberg-Dundee, Oregon",13.4,35,18.8,49
1417,"Alvin, Texas",18.0,47,29.1,76
1418,"New Lenox, Illinois",14.2,37,15.7,41
1419,"Burlington, Massachusetts",24.9,65,28.0,73
1420,"Brawley, California",13.8,36,19.2,50
1421,"Mount Pleasant, Michigan",11.1,29,13.4,35
1422,"Colleyville, Texas",16.5,43,18.8,49
1423,"Xenia, Ohio",15.7,41,25.7,67
1424,"Wall Township, New Jersey",25.4,66,35.0,91
1425,"Canton, Georgia",17.3,45,19.2,50
1426,"Key West, Florida",35.4,92,45.4,118
1427,"Temple Terrace, Florida",19.3,50,25.4,66
1428,"Exeter Township, Berks County, Pennsylvania",11.2,29,12.0,31
1429,"Cabot, Arkansas",16.2,42,20.4,53
1430,"Clinton, Iowa",15.4,40,17.8,46
1431,"Randolph Township, New Jersey",13.9,36,15.8,41
1432,"Lemoore, California",12.0,31,14.7,38
1433,"Neenah, Wisconsin",15.9,41,19.7,51
1434,"Moon Township, Pennsylvania",10.8,28,13.2,34
1435,"Reedley, California",10.5,27,15.5,40
1436,"South Windsor, Connecticut",14.7,38,20.2,52
1437,"Sahuarita, Arizona",16.7,43,19.4,50
1438,"Reading, Massachusetts",16.3,42,21.3,55
1439,"Prior Lake, Minnesota",9.7,25,10.9,28
1440,"Owatonna, Minnesota",14.0,36,15.1,39
1441,"Troy, Ohio",16.3,42,17.1,44
1442,"Marshfield, Massachusetts",17.9,46,19.1,49
1443,"Farmington, Connecticut",17.5,45,23.8,61
1444,"Merrimack, New Hampshire",15.6,40,20.3,52
1445,"South Portland, Maine",20.6,53,23.0,59
1446,"Hazelwood, Missouri",26.1,67,30.4,78
1447,"Galt, California",12.9,33,19.1,49
1448,"Belmont, Massachusetts",17.9,46,23.4,60
1449,"Ridgewood, New Jersey",16.8,43,18.0,46
1450,"DeWitt Town, New York",17.2,44,18.7,48
1451,"Athens, Alabama",18.7,48,23.0,59
1452,"Daphne, Alabama",19.6,50,28.9,74
1453,"Washington, Utah",9.4,24,10.2,26
1454,"Hercules, California",7.8,20,8.6,22
1455,"Lebanon, Pennsylvania",16.0,41,17.2,44
1456,"Mauldin, South Carolina",19.2,49,23.5,60
1457,"Mercer Island, Washington",12.1,31,13.7,35
1458,"White Bear Lake, Minnesota",11.0,28,14.5,37
1459,"Chaska, Minnesota",9.8,25,11.0,28
1460,"Balch Springs, Texas",14.1,36,20.8,53
1461,"Sachse, Texas",11.0,28,16.5,42
1462,"Bixby, Oklahoma",10.6,27,14.1,36
1463,"Londonderry, New Hampshire",22.0,56,27.5,70
1464,"Grandview, Missouri",20.1,51,23.6,60
1465,"Dedham, Massachusetts",22.4,57,23.2,59
1466,"Salem, Virginia",24.4,62,33.5,85
1467,"Woodburn, Oregon",13.4,34,16.5,42
1468,"Burlington, Iowa",16.9,43,18.5,47
1469,"Ridgefield, Connecticut",16.6,42,18.9,48
1470,"Ardmore, Oklahoma",20.1,51,27.7,70
1471,"Moscow, Idaho",13.8,35,17.0,43
1472,"Fuquay-Varina, North Carolina",15.1,38,17.4,44
1473,"El Cerrito, California",15.9,40,18.6,47
1474,"San Fernando, California",10.7,27,16.3,41
1475,"Walpole, Massachusetts",15.9,40,21.0,53
1476,"Edwardsville, Illinois",16.7,42,22.3,56
1477,"Dickinson, North Dakota",14.3,36,21.9,55
1478,"University Park, Texas",15.5,39,21.1,53
1479,"Sandusky, Ohio",18.7,47,19.5,49
1480,"Sanger, California",13.2,33,14.8,37
1481,"Northport, Alabama",23.6,59,30.7,77
1482,"Derry Township, Dauphin County, Pennsylvania",15.6,39,23.2,58
1483,"Wyandotte, Michigan",12.8,32,18.4,46
1484,"South Salt Lake, Utah",22.8,57,27.2,68
