,city,%_change,party,year,value
110,"Mesa, AZ",200.00000000000006,red,2002,0.20145003736898193
111,"Chattanooga, TN",100.0,red,2002,0.7367712718145695
112,"Spokane, WA",199.99999999999997,red,2002,0.49622496855174264
113,"Boise, ID",0.0,red,2002,0.25959326926571447
114,"Pensacola, FL",199.99999999999994,red,2002,
115,"Corpus Christi, TX",200.0,red,2002,0.8786445443495834
116,"Huntsville, AL",0.0,red,2002,0.3228764416433119
117,"Springfield, MO",700.0,red,2002,0.34816274519361334
118,"Canton, OH",-83.33333333333334,red,2002,0.36875331877986905
119,"St. Petersburg, FL",0.0,red,2002,0.7597196634441892
120,"Killeen, TX",0.0,red,2002,
121,"York, PA",-50.0,red,2002,1.2807103673504239
122,United States,87.63468128311129,,2002,0.31290722158681
123,"Los Angeles, CA",25.000000000000007,blue,2003,0.14825825808251353
124,"Chicago, IL",14.285714285714283,blue,2003,0.48409505690537397
125,"Miami, FL",25.00000000000003,blue,2003,0.04700745820331854
126,"Dallas, TX",700.0,blue,2003,0.13953669283037798
127,"Philadelphia, PA",-54.545454545454554,blue,2003,0.15963435927379846
128,"Houston, TX",214.28571428571428,blue,2003,0.1836052281955939
129,"Atlanta, GA",100.0,blue,2003,0.07650011953143676
130,"Phoenix, AZ",159.99999999999997,red,2003,0.17149091012430887
131,"Seattle, WA",50.00000000000002,blue,2003,0.0548882817635056
132,"San Francisco, CA",-33.33333333333333,blue,2003,0.0832463640069361
133,"Detroit, MI",-40.0,blue,2003,0.17034778772167217
134,"San Diego, CA",-27.27272727272727,blue,2003,0.1245984037698493
135,"Minneapolis, MN",-50.0,blue,2003,0.1708375515972115
136,"Tampa, FL",-25.00000000000002,blue,2003,0.0713205717057028
137,"Denver, CO",266.66666666666663,blue,2003,0.4305294148459458
138,"Brooklyn, NY",-55.55555555555555,blue,2003,0.3803510640321016
139,"Baltimore, MD",-40.0,blue,2003,0.1842889946298187
140,"Riverside, CA",200.00000000000006,blue,2003,0.14390221556647828
141,"Las Vegas, NV",150.0,blue,2003,0.43414397661411114
142,"Portland, OR",50.000000000000014,blue,2003,0.14614213979372526
143,"San Antonio, TX",900.0,blue,2003,0.0998736598203273
144,"Kansas City, MO",-71.42857142857143,red,2003,0.618957045000034
145,"Virginia Beach, VA",100.0,red,2003,0.20265026010160886
146,"Jacksonville, FL",300.0,red,2003,0.2594502594935012
147,"Oklahoma City, OK",37.50000000000001,red,2003,0.5230136464720637
148,"Tulsa, OK",75.00000000000001,red,2003,0.7439878343109334
149,"Colorado Springs, CO",200.00000000000006,red,2003,0.9616216787991267
150,"Bakersfield, CA",150.00000000000003,red,2003,
151,"Mesa, AZ",200.00000000000006,red,2003,0.20145003736898193
152,"Chattanooga, TN",100.0,red,2003,0.7367712718145695
153,"Spokane, WA",199.99999999999997,red,2003,0.49622496855174264
154,"Boise, ID",0.0,red,2003,0.5191865385314289
155,"Pensacola, FL",199.99999999999994,red,2003,0.29036004645760743
156,"Corpus Christi, TX",200.0,red,2003,0.29288151478319446
157,"Huntsville, AL",0.0,red,2003,
158,"Springfield, MO",700.0,red,2003,0.6963254903872267
159,"Canton, OH",-83.33333333333334,red,2003,
160,"St. Petersburg, FL",0.0,red,2003,0.3798598317220946
161,"Killeen, TX",0.0,red,2003,
162,"York, PA",-50.0,red,2003,0.4269034557834746
163,United States,87.63468128311129,,2003,0.3340136169251187
164,"Los Angeles, CA",25.000000000000007,blue,2004,0.14825825808251353
165,"Chicago, IL",14.285714285714283,blue,2004,0.19594323731884186
166,"Miami, FL",25.00000000000003,blue,2004,0.03133830546887902
167,"Dallas, TX",700.0,blue,2004,0.12209460622658072
168,"Philadelphia, PA",-54.545454545454554,blue,2004,0.2128458123650646
169,"Houston, TX",214.28571428571428,blue,2004,0.1836052281955939
170,"Atlanta, GA",100.0,blue,2004,0.11475017929715516
171,"Phoenix, AZ",159.99999999999997,red,2004,0.34298182024861773
172,"Seattle, WA",50.00000000000002,blue,2004,0.16466484529051684
173,"San Francisco, CA",-33.33333333333333,blue,2004,0.1664927280138722
174,"Detroit, MI",-40.0,blue,2004,0.1135651918144481
175,"San Diego, CA",-27.27272727272727,blue,2004,0.09344880282738698
176,"Minneapolis, MN",-50.0,blue,2004,0.13667004127776922
177,"Tampa, FL",-25.00000000000002,blue,2004,0.0356602858528514
178,"Denver, CO",266.66666666666663,blue,2004,0.17938725618581075
179,"Brooklyn, NY",-55.55555555555555,blue,2004,0.15214042561284066
180,"Baltimore, MD",-40.0,blue,2004,0.1842889946298187
181,"Riverside, CA",200.00000000000006,blue,2004,0.04796740518882609
182,"Las Vegas, NV",150.0,blue,2004,0.5306204158616914
183,"Portland, OR",50.000000000000014,blue,2004,0.19485618639163366
184,"San Antonio, TX",900.0,blue,2004,
185,"Kansas City, MO",-71.42857142857143,red,2004,0.2475828180000136
186,"Virginia Beach, VA",100.0,red,2004,
187,"Jacksonville, FL",300.0,red,2004,0.2594502594935012
188,"Oklahoma City, OK",37.50000000000001,red,2004,0.7322191050608893
189,"Tulsa, OK",75.00000000000001,red,2004,0.7439878343109334
190,"Colorado Springs, CO",200.00000000000006,red,2004,0.6410811191994179
191,"Bakersfield, CA",150.00000000000003,red,2004,1.5669560312137643
192,"Mesa, AZ",200.00000000000006,red,2004,1.4101502615828736
193,"Chattanooga, TN",100.0,red,2004,1.473542543629139
194,"Spokane, WA",199.99999999999997,red,2004,
195,"Boise, ID",0.0,red,2004,0.5191865385314289
196,"Pensacola, FL",199.99999999999994,red,2004,0.29036004645760743
197,"Corpus Christi, TX",200.0,red,2004,0.5857630295663889
198,"Huntsville, AL",0.0,red,2004,
199,"Springfield, MO",700.0,red,2004,
200,"Canton, OH",-83.33333333333334,red,2004,
201,"St. Petersburg, FL",0.0,red,2004,1.1395794951662837
202,"Killeen, TX",0.0,red,2004,
203,"York, PA",-50.0,red,2004,0.8538069115669492
204,United States,87.63468128311129,,2004,0.3302535871465003
205,"Los Angeles, CA",25.000000000000007,blue,2005,0.14825825808251353
206,"Chicago, IL",14.285714285714283,blue,2005,0.21899538288576442
207,"Miami, FL",25.00000000000003,blue,2005,0.09401491640663708
208,"Dallas, TX",700.0,blue,2005,0.017442086603797247
209,"Philadelphia, PA",-54.545454545454554,blue,2005,0.17737151030422052
210,"Houston, TX",214.28571428571428,blue,2005,0.45901307048898476
211,"Atlanta, GA",100.0,blue,2005,0.15300023906287352
212,"Phoenix, AZ",159.99999999999997,red,2005,0.1959896115706387
213,"Seattle, WA",50.00000000000002,blue,2005,0.08233242264525842
214,"San Francisco, CA",-33.33333333333333,blue,2005,0.0832463640069361
215,"Detroit, MI",-40.0,blue,2005,0.19873908567528417
216,"San Diego, CA",-27.27272727272727,blue,2005,0.2803464084821609
217,"Minneapolis, MN",-50.0,blue,2005,0.1708375515972115
218,"Tampa, FL",-25.00000000000002,blue,2005,0.21396171511710835
219,"Denver, CO",266.66666666666663,blue,2005,0.0717549024743243
220,"Brooklyn, NY",-55.55555555555555,blue,2005,0.1901755320160508
221,"Baltimore, MD",-40.0,blue,2005,0.27643349194472805
222,"Riverside, CA",200.00000000000006,blue,2005,0.09593481037765218
223,"Las Vegas, NV",150.0,blue,2005,0.3376675373665309
224,"Portland, OR",50.000000000000014,blue,2005,0.14614213979372526
225,"San Antonio, TX",900.0,blue,2005,0.7989892785626184
226,"Kansas City, MO",-71.42857142857143,red,2005,0.309478522500017
227,"Virginia Beach, VA",100.0,red,2005,0.06755008670053628
228,"Jacksonville, FL",300.0,red,2005,0.43241709915583537
229,"Oklahoma City, OK",37.50000000000001,red,2005,0.7322191050608893
230,"Tulsa, OK",75.00000000000001,red,2005,0.29759513372437335
231,"Colorado Springs, CO",200.00000000000006,red,2005,0.6410811191994179
232,"Bakersfield, CA",150.00000000000003,red,2005,0.6964249027616729
233,"Mesa, AZ",200.00000000000006,red,2005,0.6043501121069459
234,"Chattanooga, TN",100.0,red,2005,0.24559042393818978
235,"Spokane, WA",199.99999999999997,red,2005,
236,"Boise, ID",0.0,red,2005,
237,"Pensacola, FL",199.99999999999994,red,2005,0.5807200929152149
238,"Corpus Christi, TX",200.0,red,2005,0.29288151478319446
239,"Huntsville, AL",0.0,red,2005,1.2915057665732477
240,"Springfield, MO",700.0,red,2005,
241,"Canton, OH",-83.33333333333334,red,2005,0.36875331877986905
242,"St. Petersburg, FL",0.0,red,2005,0.7597196634441892
243,"Killeen, TX",0.0,red,2005,
244,"York, PA",-50.0,red,2005,0.8538069115669492
245,United States,87.63468128311129,,2005,0.3685072187772437
246,"Los Angeles, CA",25.000000000000007,blue,2006,0.08583372836356046
247,"Chicago, IL",14.285714285714283,blue,2006,0.28815181958653213
248,"Miami, FL",25.00000000000003,blue,2006,0.04700745820331854
249,"Dallas, TX",700.0,blue,2006,0.12209460622658072
250,"Philadelphia, PA",-54.545454545454554,blue,2006,0.35474302060844104
251,"Houston, TX",214.28571428571428,blue,2006,0.25704731947383147
252,"Atlanta, GA",100.0,blue,2006,0.2486253884771695
253,"Phoenix, AZ",159.99999999999997,red,2006,0.22048831301696856
254,"Seattle, WA",50.00000000000002,blue,2006,0.08233242264525842
255,"San Francisco, CA",-33.33333333333333,blue,2006,0.1664927280138722
256,"Detroit, MI",-40.0,blue,2006,0.4258694693041804
257,"San Diego, CA",-27.27272727272727,blue,2006,0.09344880282738698
258,"Minneapolis, MN",-50.0,blue,2006,0.13667004127776922
259,"Tampa, FL",-25.00000000000002,blue,2006,0.0356602858528514
260,"Denver, CO",266.66666666666663,blue,2006,0.17938725618581075
261,"Brooklyn, NY",-55.55555555555555,blue,2006,0.1901755320160508
262,"Baltimore, MD",-40.0,blue,2006,0.27643349194472805
263,"Riverside, CA",200.00000000000006,blue,2006,0.14390221556647828
264,"Las Vegas, NV",150.0,blue,2006,0.5788586354854814
265,"Portland, OR",50.000000000000014,blue,2006,0.3409983261853589
266,"San Antonio, TX",900.0,blue,2006,0.7490524486524546
267,"Kansas City, MO",-71.42857142857143,red,2006,0.4951656360000272
268,"Virginia Beach, VA",100.0,red,2006,0.13510017340107255
269,"Jacksonville, FL",300.0,red,2006,0.2594502594935012
270,"Oklahoma City, OK",37.50000000000001,red,2006,0.20920545858882547
271,"Tulsa, OK",75.00000000000001,red,2006,0.44639270058656
272,"Colorado Springs, CO",200.00000000000006,red,2006,0.16027027979985448
273,"Bakersfield, CA",150.00000000000003,red,2006,0.6964249027616729
274,"Mesa, AZ",200.00000000000006,red,2006,0.8058001494759277
275,"Chattanooga, TN",100.0,red,2006,0.24559042393818978
276,"Spokane, WA",199.99999999999997,red,2006,0.7443374528276139
277,"Boise, ID",0.0,red,2006,0.25959326926571447
278,"Pensacola, FL",199.99999999999994,red,2006,
279,"Corpus Christi, TX",200.0,red,2006,0.8786445443495834
280,"Huntsville, AL",0.0,red,2006,0.6457528832866238
281,"Springfield, MO",700.0,red,2006,
282,"Canton, OH",-83.33333333333334,red,2006,
283,"St. Petersburg, FL",0.0,red,2006,
284,"Killeen, TX",0.0,red,2006,
285,"York, PA",-50.0,red,2006,0.4269034557834746
286,United States,87.63468128311129,,2006,0.3968095546592962
287,"Los Angeles, CA",25.000000000000007,blue,2007,0.16386439051225177
288,"Chicago, IL",14.285714285714283,blue,2007,0.34578218350383855
289,"Miami, FL",25.00000000000003,blue,2007,0.04700745820331854
290,"Dallas, TX",700.0,blue,2007,0.24418921245316144
291,"Philadelphia, PA",-54.545454545454554,blue,2007,0.39021732266928516
292,"Houston, TX",214.28571428571428,blue,2007,0.4039315020303066
293,"Atlanta, GA",100.0,blue,2007,0.03825005976571838
294,"Phoenix, AZ",159.99999999999997,red,2007,0.14699220867797902
295,"Seattle, WA",50.00000000000002,blue,2007,0.0548882817635056
296,"San Francisco, CA",-33.33333333333333,blue,2007,0.22199030401849626
297,"Detroit, MI",-40.0,blue,2007,0.2555216815825082
298,"San Diego, CA",-27.27272727272727,blue,2007,0.2803464084821609
299,"Minneapolis, MN",-50.0,blue,2007,
300,"Tampa, FL",-25.00000000000002,blue,2007,
301,"Denver, CO",266.66666666666663,blue,2007,0.17938725618581075
302,"Brooklyn, NY",-55.55555555555555,blue,2007,0.15214042561284066
303,"Baltimore, MD",-40.0,blue,2007,0.6450114812043655
304,"Riverside, CA",200.00000000000006,blue,2007,
305,"Las Vegas, NV",150.0,blue,2007,0.48238219623790124
306,"Portland, OR",50.000000000000014,blue,2007,0.048714046597908414
307,"San Antonio, TX",900.0,blue,2007,0.7490524486524546
308,"Kansas City, MO",-71.42857142857143,red,2007,0.4332699315000238
309,"Virginia Beach, VA",100.0,red,2007,0.13510017340107255
310,"Jacksonville, FL",300.0,red,2007,0.9513176181428378
311,"Oklahoma City, OK",37.50000000000001,red,2007,0.41841091717765094
312,"Tulsa, OK",75.00000000000001,red,2007,0.29759513372437335
313,"Colorado Springs, CO",200.00000000000006,red,2007,0.16027027979985448
314,"Bakersfield, CA",150.00000000000003,red,2007,1.0446373541425094
315,"Mesa, AZ",200.00000000000006,red,2007,0.8058001494759277
316,"Chattanooga, TN",100.0,red,2007,0.24559042393818978
317,"Spokane, WA",199.99999999999997,red,2007,0.49622496855174264
318,"Boise, ID",0.0,red,2007,0.25959326926571447
319,"Pensacola, FL",199.99999999999994,red,2007,0.29036004645760743
320,"Corpus Christi, TX",200.0,red,2007,1.1715260591327779
321,"Huntsville, AL",0.0,red,2007,0.6457528832866238
322,"Springfield, MO",700.0,red,2007,
323,"Canton, OH",-83.33333333333334,red,2007,0.36875331877986905
324,"St. Petersburg, FL",0.0,red,2007,0.3798598317220946
325,"Killeen, TX",0.0,red,2007,
326,"York, PA",-50.0,red,2007,1.2807103673504239
327,United States,87.63468128311129,,2007,0.39205765291110756
328,"Los Angeles, CA",25.000000000000007,blue,2008,0.20287972158659745
329,"Chicago, IL",14.285714285714283,blue,2008,0.34578218350383855
330,"Miami, FL",25.00000000000003,blue,2008,0.04700745820331854
331,"Dallas, TX",700.0,blue,2008,0.1569787794341752
332,"Philadelphia, PA",-54.545454545454554,blue,2008,0.2128458123650646
333,"Houston, TX",214.28571428571428,blue,2008,0.38557097921074723
334,"Atlanta, GA",100.0,blue,2008,0.1912502988285919
335,"Phoenix, AZ",159.99999999999997,red,2008,0.07349610433898951
336,"Seattle, WA",50.00000000000002,blue,2008,
337,"San Francisco, CA",-33.33333333333333,blue,2008,0.0832463640069361
338,"Detroit, MI",-40.0,blue,2008,0.36908687339695634
339,"San Diego, CA",-27.27272727272727,blue,2008,0.15574800471231162
340,"Minneapolis, MN",-50.0,blue,2008,0.1708375515972115
341,"Tampa, FL",-25.00000000000002,blue,2008,0.10698085755855417
342,"Denver, CO",266.66666666666663,blue,2008,0.2152647074229729
343,"Brooklyn, NY",-55.55555555555555,blue,2008,0.34231595762889144
344,"Baltimore, MD",-40.0,blue,2008,0.32250574060218273
345,"Riverside, CA",200.00000000000006,blue,2008,0.14390221556647828
346,"Las Vegas, NV",150.0,blue,2008,0.2894293177427407
347,"Portland, OR",50.000000000000014,blue,2008,0.09742809319581683
348,"San Antonio, TX",900.0,blue,2008,0.8489261084727819
349,"Kansas City, MO",-71.42857142857143,red,2008,0.7427484540000409
350,"Virginia Beach, VA",100.0,red,2008,
351,"Jacksonville, FL",300.0,red,2008,1.1242844578051718
352,"Oklahoma City, OK",37.50000000000001,red,2008,0.3138081878832382
353,"Tulsa, OK",75.00000000000001,red,2008,0.29759513372437335
354,"Colorado Springs, CO",200.00000000000006,red,2008,0.16027027979985448
355,"Bakersfield, CA",150.00000000000003,red,2008,0.34821245138083645
356,"Mesa, AZ",200.00000000000006,red,2008,1.2087002242138918
357,"Chattanooga, TN",100.0,red,2008,
358,"Spokane, WA",199.99999999999997,red,2008,0.24811248427587132
359,"Boise, ID",0.0,red,2008,
360,"Pensacola, FL",199.99999999999994,red,2008,
361,"Corpus Christi, TX",200.0,red,2008,
362,"Huntsville, AL",0.0,red,2008,0.3228764416433119
363,"Springfield, MO",700.0,red,2008,0.34816274519361334
364,"Canton, OH",-83.33333333333334,red,2008,0.36875331877986905
365,"St. Petersburg, FL",0.0,red,2008,1.5194393268883783
366,"Killeen, TX",0.0,red,2008,
367,"York, PA",-50.0,red,2008,0.8538069115669492
368,United States,87.63468128311129,,2008,0.3699514379709856
369,"Los Angeles, CA",25.000000000000007,blue,2009,0.13265212565277526
370,"Chicago, IL",14.285714285714283,blue,2009,0.27662574680307084
371,"Miami, FL",25.00000000000003,blue,2009,0.15669152734439515
372,"Dallas, TX",700.0,blue,2009,0.19186295264176972
373,"Philadelphia, PA",-54.545454545454554,blue,2009,0.3192687185475969
374,"Houston, TX",214.28571428571428,blue,2009,0.4957341161281036
375,"Atlanta, GA",100.0,blue,2009,0.01912502988285919
376,"Phoenix, AZ",159.99999999999997,red,2009,0.17149091012430887
377,"Seattle, WA",50.00000000000002,blue,2009,0.1097765635270112
378,"San Francisco, CA",-33.33333333333333,blue,2009,0.027748788002312032
379,"Detroit, MI",-40.0,blue,2009,0.2555216815825082
380,"San Diego, CA",-27.27272727272727,blue,2009,0.2491968075396986
381,"Minneapolis, MN",-50.0,blue,2009,0.034167510319442304
382,"Tampa, FL",-25.00000000000002,blue,2009,0.0356602858528514
383,"Denver, CO",266.66666666666663,blue,2009,0.10763235371148645
384,"Brooklyn, NY",-55.55555555555555,blue,2009,0.22821063841926098
385,"Baltimore, MD",-40.0,blue,2009,0.5528669838894561
386,"Riverside, CA",200.00000000000006,blue,2009,0.09593481037765218
387,"Las Vegas, NV",150.0,blue,2009,0.43414397661411114
388,"Portland, OR",50.000000000000014,blue,2009,
389,"San Antonio, TX",900.0,blue,2009,0.5992419589219637
390,"Kansas City, MO",-71.42857142857143,red,2009,0.4332699315000238
391,"Virginia Beach, VA",100.0,red,2009,0.06755008670053628
392,"Jacksonville, FL",300.0,red,2009,0.8648341983116707
393,"Oklahoma City, OK",37.50000000000001,red,2009,0.3138081878832382
394,"Tulsa, OK",75.00000000000001,red,2009,0.5951902674487467
395,"Colorado Springs, CO",200.00000000000006,red,2009,0.32054055959970895
396,"Bakersfield, CA",150.00000000000003,red,2009,1.5669560312137643
397,"Mesa, AZ",200.00000000000006,red,2009,0.40290007473796385
398,"Chattanooga, TN",100.0,red,2009,1.227952119690949
399,"Spokane, WA",199.99999999999997,red,2009,0.49622496855174264
400,"Boise, ID",0.0,red,2009,
401,"Pensacola, FL",199.99999999999994,red,2009,0.5807200929152149
402,"Corpus Christi, TX",200.0,red,2009,0.5857630295663889
403,"Huntsville, AL",0.0,red,2009,1.6143822082165598
404,"Springfield, MO",700.0,red,2009,0.6963254903872267
405,"Canton, OH",-83.33333333333334,red,2009,
406,"St. Petersburg, FL",0.0,red,2009,1.1395794951662837
407,"Killeen, TX",0.0,red,2009,
408,"York, PA",-50.0,red,2009,0.8538069115669492
409,United States,87.63468128311129,,2009,0.3784575458435062
410,"Los Angeles, CA",25.000000000000007,blue,2010,0.17947052294199003
411,"Chicago, IL",14.285714285714283,blue,2010,0.27662574680307084
412,"Miami, FL",25.00000000000003,blue,2010,0.10968406914107658
413,"Dallas, TX",700.0,blue,2010,0.2965154722645532
414,"Philadelphia, PA",-54.545454545454554,blue,2010,0.2483201144259087
415,"Houston, TX",214.28571428571428,blue,2010,0.4773735933085441
416,"Atlanta, GA",100.0,blue,2010,0.09562514941429595
417,"Phoenix, AZ",159.99999999999997,red,2010,0.29398441735595804
418,"Seattle, WA",50.00000000000002,blue,2010,0.1097765635270112
419,"San Francisco, CA",-33.33333333333333,blue,2010,0.0832463640069361
420,"Detroit, MI",-40.0,blue,2010,0.28391297953612027
421,"San Diego, CA",-27.27272727272727,blue,2010,0.18689760565477395
422,"Minneapolis, MN",-50.0,blue,2010,0.13667004127776922
423,"Tampa, FL",-25.00000000000002,blue,2010,0.0356602858528514
424,"Denver, CO",266.66666666666663,blue,2010,0.2152647074229729
425,"Brooklyn, NY",-55.55555555555555,blue,2010,0.11410531920963049
426,"Baltimore, MD",-40.0,blue,2010,0.27643349194472805
427,"Riverside, CA",200.00000000000006,blue,2010,0.04796740518882609
428,"Las Vegas, NV",150.0,blue,2010,0.5788586354854814
429,"Portland, OR",50.000000000000014,blue,2010,0.2922842795874505
430,"San Antonio, TX",900.0,blue,2010,0.5992419589219637
431,"Kansas City, MO",-71.42857142857143,red,2010,0.309478522500017
432,"Virginia Beach, VA",100.0,red,2010,
