,county,Latitude,Longitude,death_count
109,Andrews,33.062929233333335,-87.20536249999999,3
110,Angel Fire,36.357013,-105.2980197,1
111,Angels Camp,38.00153710000001,-120.5442196,1
112,Angelus Oaks,34.1849024,-116.90896129999999,1
113,Angleton,29.147760166666668,-95.41695056666669,6
114,Angola,41.7249951,-85.01088015,2
115,Ankeny,41.70988412,-93.60891308,5
116,Anmoore,39.260145,-80.288667,1
117,Ann Arbor,42.276936,-83.7740479,1
118,Annandale,38.82401885,-77.2348494,2
119,Annapolis,38.9851837,-76.50905518571429,7
120,Anniston,33.687139499999994,-85.82428395714285,7
121,Annville,40.363964,-76.547605,1
122,Anoka,45.2050598,-93.38534990000001,1
123,Ansonia,41.3446344,-73.0706186,1
124,Antelope,38.7079053,-121.3507095,5
125,Anthem,33.8531006,-112.1439347,1
126,Anthony,29.325995000000002,-82.08256899999999,1
127,Antigo,45.13296629999999,-89.1740467,1
128,Antioch,38.352973046875,-111.39417695312501,32
129,Antlers,34.237000200000004,-95.72718990000001,2
130,Anza,33.55890805,-116.6955444,2
131,Apache,31.675697999999997,-109.10125900000001,1
132,Apache Junction,33.42059822,-111.5639206,5
133,Apex,35.72535235,-78.857654,2
134,Apopka,28.667791375,-81.51217065,4
135,Apple Creek,40.7500784,-81.8346677,1
136,Apple Grove,38.644977000000004,-82.08931390000001,1
137,Apple Valley,37.037309675,-111.19619327499998,8
138,Appleton,44.25970496666665,-88.40068597777777,9
139,Appomattox,37.32018529999999,-78.8330672,1
140,Aquasco,38.5995347,-76.724108,1
141,Arab,34.2942633,-86.47278825000001,2
142,Arabi,29.9565336,-89.99549183333333,3
143,Aransas,27.927629200000002,-97.248713,1
144,Aransas Pass,27.91803996666667,-97.16295456666667,3
145,Arapahoe,42.9828765,-108.6210621,1
146,Ararat,36.4077385,-80.6117842,1
147,Arbutus,39.2538469,-76.695846,1
148,Arcadia,33.54686058333333,-108.0970984,6
149,Arcata,40.864085833333334,-124.1112538,3
150,Archdale,35.90352494999999,-79.9824288,2
151,Arcola,40.39798175,-86.79809985,2
152,Arden Arcade,38.5847975,-121.4107314,1
153,Arden Hills,45.0429408,-93.1774675,1
154,Ardmore,34.31316605,-95.42814406666668,6
155,Ardsley,41.0081669,-73.852267,1
156,Argonne,45.644954399999996,-88.9173275,1
157,Argyle,33.100606199999994,-97.1870942,1
158,Arietta,43.403803499999995,-74.5682641,1
159,Ariton,31.590142600000004,-85.7774941,1
160,Arizona City,32.75629,-111.655371,1
161,Arkansas City,37.062113200000006,-97.0278372,1
162,Arleta,34.2456451,-118.4356835,1
163,Arlington,35.656830793617026,-92.27732855106383,47
164,Arlington Heights,42.115770525,-87.992180275,4
165,Arnaudville,30.3976973,-91.9315062,1
166,Arnold,39.189178049999995,-100.309223025,4
167,Aromas,36.8850169,-121.63808795,2
168,Arpin,44.5407122,-90.0250638,1
169,Arroyo Grande,35.1111693,-120.5636368,1
170,Artesia,33.34929845,-111.24289295,4
171,Arundel,43.4728148,-70.5268649,1
172,Arvada,39.819074133333324,-105.07347680000002,6
173,Arverne,40.593069,-73.792325,1
174,Arvin,35.09180855,-118.89320229999998,2
175,Arvonia,37.67304179999999,-78.3954459,1
176,Asbury Park,40.22494963333333,-74.01278836666667,3
177,Ash,33.949983,-78.611003,1
178,Ash Fork,35.221340999999995,-112.474301,1
179,Ashburn,34.1352076,-81.5987901,3
180,Ashby,42.6577135,-71.7922355,1
181,Asheboro,35.686209375000004,-79.844043025,4
182,Asher,34.9920626,-96.9283302,1
183,Asheville,35.563732083333335,-82.59569913333333,6
184,Ashford,31.1489704,-85.22177845,2
185,Ashland,40.297352807142865,-93.84712209999999,14
186,Ashley,40.4089499,-82.955461,1
187,Ashtabula,41.86908356666667,-80.81449626666667,3
188,Ashton,44.0276631,-111.5004267,1
189,Ashton-Sandy Spring,39.1497526,-77.02571540000001,1
190,Ashville,37.77676833333333,-84.03480183333333,3
191,Aspen,39.2341332,-106.86271029999999,1
192,Aspen Hill,39.0792718,-77.0679181,1
193,Assaria,38.711219799999995,-97.56804190000001,1
194,Astoria,43.4779038,-98.87949210000002,2
195,Atascadero,35.45047434999999,-120.63811085,2
196,Atascocita,29.9963869,-95.1703622,1
197,Atascosa,29.259684049999997,-98.71936445,2
198,Atchison,39.5660336,-95.14187749999999,2
199,Athena,45.7989417,-118.4974567,1
200,Athens,34.09681015161291,-86.08807112258063,31
201,Atherton,37.46892280000001,-122.19247069999999,1
202,Atkins,35.21701195,-92.8779384,2
203,Atlanta,33.74845186870749,-84.40971692108849,147
204,Atlantic,41.40647095,-95.01565415,2
205,Atlantic Beach,30.3397784,-81.4161443,1
206,Atlantic City,39.36339244285715,-74.43273829999998,7
207,Atmore,31.070639149999998,-87.48810725,2
208,Attalla,34.091844550000005,-86.08993705,2
209,"Attapulgus,",30.748212,-84.4734652,1
210,Atwater,37.34991725,-120.60722305,8
211,Atwood,37.8710078,-88.51722219999999,2
212,Au Sable,44.5345237,-73.48421490000001,1
213,Auberry,37.080737899999995,-119.46315020000002,1
214,Auburn,43.885111188888885,-105.51224674074074,27
215,Auburn Hills,42.628065500000005,-83.2491899,1
216,Auburndale,28.067293766666666,-81.8005377,3
217,Augusta,34.72112746896551,-81.1876634862069,29
218,Aurora,39.962317055882345,-100.77438085588236,68
219,Austell,33.805185243749996,-84.61181877499999,16
220,Austin,31.090874181818187,-97.31449513749999,88
221,Ava,36.9357823,-92.68829596666667,3
222,Avalon Park,28.551580199999997,-81.15693540000001,1
223,Avella,40.29399634999999,-80.4835533,2
224,Avenal,36.0114409,-120.1316438,1
225,Avinger,32.8199767,-94.6107191,2
226,Avoca,41.26454056666667,-95.6040881,3
227,Avon,40.643972742857144,-87.13872577142857,7
228,Avon Park,27.634375399999996,-81.558223,1
229,Avondale,34.16654474999999,-108.83524402500001,8
230,Avondale Estates,33.771705,-84.2546198,3
231,Axton,36.6760054,-79.626295,1
232,Aylett,37.78514620000001,-77.10565290000001,1
233,Azle,32.875849466666665,-97.52535823333335,3
234,Aztec,36.8023264,-108.05194305,2
235,Azusa,34.13935934166667,-117.89824409166665,12
236,Babylon,40.6418498,-73.26678285,2
237,Backus,46.818027,-94.521079,1
238,Bacliff,29.508840600000003,-94.98565740000001,1
239,Baden,40.6318726,-80.2271623,1
240,Badin,35.40888525,-80.11996830000001,2
241,Bailey,37.63758485,-91.74664485000001,2
242,Bailey Springs,34.8956408,-87.5714145,1
243,Bainbridge,36.054555924999995,-80.3159787,4
244,Bainbridge Island,47.6242975,-122.540801,2
245,Baker,35.732419066666665,-104.92122763333333,3
246,Bakersfield,35.36348605849058,-119.00346853490572,106
247,Bala Cynwyd,40.0001546,-75.2287372,1
248,Balch Springs,32.70842315,-96.6170505,2
249,Balcones Heights,29.4910378,-98.5544685,1
250,Bald Knob,35.3365448,-91.5789145,1
251,Baldwin,29.8479891,-91.5553916,2
252,Baldwin Park,34.08476739999999,-117.9747078,5
253,Ballston Spa,43.0113315,-73.8458662,1
254,Ballwin,38.60381525,-90.5191484,2
255,Baltimore,39.30707842582779,-76.62248009006622,151
256,Baltimore Township,42.565948600000006,-85.2590455,1
257,Bancroft,42.8970172,-84.10374470000001,1
258,Bandera,29.70737,-99.05042320000001,1
259,Bandon,43.103949,-124.4148937,1
260,Bangor,43.46188924285714,-77.21439564285716,7
261,Banks Crossing,34.14293920000001,-83.4632151,1
262,Banning,33.91495682,-116.88246820000002,5
263,Barberton,41.011886425,-81.60736287499999,4
264,Barberville,29.185557399999997,-81.4227929,1
265,Barbourville,36.788863,-83.82341290000001,1
266,Bardstown,37.807034699999996,-85.45582429999999,2
267,Barnegat,39.7621086,-74.3267105,1
268,Barnesville,33.09642052,-84.12724524000001,5
269,Barnwell,33.2451782,-81.36579253333333,3
270,Barrington,39.8846097,-75.03777099999999,2
271,Barron,45.408114000000005,-91.762415,1
272,Barrow,71.3012499,-156.73839030000002,1
273,Barryville,41.4591,-74.87962900000001,1
274,Barstow,34.8863288375,-117.0212966,8
275,Bartholomew Township,33.4360031,-91.5269147,1
276,Bartlesville,36.751223814285716,-95.94084108571428,7
277,Bartlett,36.562521180000005,-89.51762812,5
278,Barto,40.376283,-75.573254,1
279,Barton,39.64047465,-81.510876,2
280,Bartonville,40.61152,-89.67153,1
281,Bascom,30.9280593,-85.11865959999999,1
282,Basehor,39.149680450000005,-94.93841655,2
283,Basin,44.3754934,-108.0420272,1
284,Basking Ridge,40.652396,-74.57656949999999,1
285,Bass Lake,37.3125901,-119.5336608,1
286,Bass River,39.579803999999996,-74.457324,1
287,Bassett,38.7014178,-86.51978313333332,3
288,Bassfield,31.500721000000002,-89.7527127,1
289,Bastrop,31.724491890000003,-94.07556117,10
290,Batavia,40.465672600000005,-86.25802485,2
291,Batavia Township,41.819912,-88.35190899999999,1
292,Batesburg,33.9055889,-81.5360506,1
293,Batesburg-Leesville,33.91523315,-81.54674109999999,2
294,Batesville,35.0395075,-90.7957365,2
295,Bath,44.1528706,-71.97604229999999,1
