,date,city,black,white,latino
2116,2012,"San Jose, CA",2.3968744756837084,0.22583661172814692,1.2076127910346828
2366,2013,"San Jose, CA",2.3968744756837084,0.45167322345629385,1.5095159887933534
2612,2014,"San Jose, CA",2.3968744756837084,0.22583661172814692,0.3019031977586707
2875,2015,"San Jose, CA",2.3968744756837084,0.22583661172814692,1.5095159887933534
3122,2016,"San Jose, CA",3.498896897904592,0.22583661172814692,0.3019031977586707
3381,2017,"San Jose, CA",4.600919320125476,0.22583661172814692,0.3019031977586707
3631,2018,"San Jose, CA",5.7029417423463595,0.45167322345629385,0.3019031977586707
3882,2019,"San Jose, CA",6.804964164567243,0.22583661172814692,0.905709593276012
717,2005,"San Leandro, CA",7.906986586788127,0.4194827076798592,3.718301479883989
1887,2011,"San Leandro, CA",9.00900900900901,0.6131288036315714,3.718301479883989
2613,2014,"San Leandro, CA",9.00900900900901,0.8067748995832836,3.718301479883989
3883,2019,"San Leandro, CA",9.00900900900901,1.0004209955349959,3.718301479883989
4111,2020,"San Leandro, CA",9.00900900900901,1.194067091486708,3.2810595102752895
3382,2017,"San Marcos, CA",15.72983936082111,1.3877131874384203,2.8438175406665906
3383,2017,"San Mateo, CA",22.450669712633207,2.0431293357112765,4.319467841561919
1670,2010,"San Ramon, CA",29.171500064445308,2.6985454839841325,4.828820559333247
2367,2013,"San Tan Valley, AZ",35.89233041625741,2.0121477635355043,5.338173277104575
3123,2016,"San Tan Valley, AZ",42.613160768069505,1.3257500430868763,4.6300121351498476
3884,2019,"San Tan Valley, AZ",49.3339911198816,1.2971110842059612,3.92185099319512
718,2005,"Sandy Springs, GA",47.46794754556817,1.2684721253250462,3.2136898512403924
557,2004,"Sandy, UT",45.60190397125474,1.1746740279572419,2.505528709285665
1104,2007,"Sandy, UT",43.73586039694131,1.1746740279572419,1.7973675673309373
3632,2018,"Sandy, UT",41.86981682262788,1.1746740279572419,1.0892064253762097
157,2001,"Santa Ana, CA",40.00377324831445,1.1044817521934935,0.3810452834214818
403,2003,"Santa Ana, CA",38.13772967400102,1.0342894764297452,0.7620905668429636
719,2005,"Santa Ana, CA",36.27168609968759,0.964097200665997,0.7620905668429636
917,2006,"Santa Ana, CA",34.40564252537416,0.8939049249022488,0.3810452834214818
1289,2008,"Santa Ana, CA",35.93278815857942,0.8237126491385005,0.3810452834214818
1479,2009,"Santa Ana, CA",37.45993379178468,0.7535203733747522,0.3810452834214818
1671,2010,"Santa Ana, CA",38.98707942498993,0.6833280976110039,1.1431358502644453
1888,2011,"Santa Ana, CA",40.51422505819519,0.6131358218472557,0.3810452834214818
2368,2013,"Santa Ana, CA",42.041370691400445,1.839407465541767,1.1431358502644453
2876,2015,"Santa Ana, CA",43.5685163246057,1.2262716436945114,0.7620905668429636
3124,2016,"Santa Ana, CA",45.09566195781096,0.6131358218472557,1.1431358502644453
3384,2017,"Santa Ana, CA",46.62280759101621,0.9853715873243392,0.7620905668429636
720,2005,"Santa Barbara, CA",48.14995322422147,1.3576073528014228,1.5798028167524027
1105,2007,"Santa Barbara, CA",49.67709885742673,1.4297738737368921,2.3975150666618417
1889,2011,"Santa Barbara, CA",45.03659257041747,1.5019403946723615,3.2152273165712812
2369,2013,"Santa Barbara, CA",40.39608628340821,1.574106915607831,3.2152273165712812
3125,2016,"Santa Barbara, CA",35.75557999639895,1.6462734365433003,3.2152273165712812
3885,2019,"Santa Barbara, CA",31.115073709389694,1.7184399574787697,3.2152273165712812
721,2005,"Santa Clara, CA",26.474567422380435,1.790606478414239,3.5273922756616543
1290,2008,"Santa Clara, CA",21.83406113537118,1.790606478414239,3.8395572347520277
1480,2009,"Santa Clara, CA",21.83406113537118,1.790606478414239,4.1517221938424
2117,2012,"Santa Clara, CA",21.83406113537118,2.238258098017799,4.463887152932774
2877,2015,"Santa Clara, CA",21.83406113537118,2.6859097176213584,4.463887152932774
3385,2017,"Santa Clara, CA",21.438016026402053,3.1335613372249185,4.463887152932774
3886,2019,"Santa Clara, CA",21.041970917432923,3.581212956828478,3.109999210071332
918,2006,"Santa Clarita, CA",20.645925808463797,2.1355553914802137,1.7561112672098904
2614,2014,"Santa Clarita, CA",20.249880699494668,0.6898978261319498,1.7561112672098904
3126,2016,"Santa Clarita, CA",19.85383559052554,0.6898978261319498,1.7561112672098904
3887,2019,"Santa Clarita, CA",19.457790481556415,0.6898978261319498,1.7561112672098904
4112,2020,"Santa Clarita, CA",19.061745372587286,0.6898978261319498,1.7561112672098904
404,2003,"Santa Fe, NM",18.66570026361816,1.3246085781651522,1.967760105752099
1291,2008,"Santa Fe, NM",18.26965515464903,1.3246085781651522,2.1794089442943076
1481,2009,"Santa Fe, NM",17.873610045679904,1.3246085781651522,3.2691134164414617
1672,2010,"Santa Fe, NM",17.477564936710777,1.3246085781651522,4.358817888588615
1890,2011,"Santa Fe, NM",17.081519827741648,1.3246085781651522,2.1794089442943076
2370,2013,"Santa Fe, NM",16.68547471877252,1.3246085781651522,2.1794089442943076
2878,2015,"Santa Fe, NM",16.289429609803392,1.3246085781651522,2.1794089442943076
3127,2016,"Santa Fe, NM",15.893384500834266,1.3246085781651522,2.1794089442943076
3386,2017,"Santa Fe, NM",15.49733939186514,1.3246085781651522,2.1794089442943076
3888,2019,"Santa Fe, NM",15.10129428289601,1.3246085781651522,1.9411133414931614
4113,2020,"Santa Fe, NM",14.705249173926884,1.3246085781651522,1.7028177386920151
