,county,Latitude,Longitude,death_count
234,Chambers,30.632174812499997,-92.97696517499999,8
235,Champaign,40.16363665555556,-88.23996514444443,9
236,Charles,38.58138247000001,-76.97177384,10
237,Charles City,37.4013523,-77.19247929999999,1
238,Charleston,32.84262866521739,-79.99034473695653,46
239,Charlevoix,45.2656321,-84.9238376,1
240,Charlotte,26.962131957142855,-82.1352219,7
241,Charlottesville City,38.02896560000001,-78.47268215,2
242,Charlton,30.810393400000002,-81.998145,1
243,Chase,39.254256600000005,-99.19418060000001,2
244,Chatham,32.15424185853657,-81.10046507804877,41
245,Chattooga,34.3770282,-85.3943514,1
246,Chautauqua,42.371221524999996,-79.281630675,4
247,Chaves,33.41575202222222,-104.5151563,9
248,Cheatham,36.087239399999994,-87.09902159999999,1
249,Cheboygan,45.55365926666667,-84.54274436666667,3
250,Chelan,47.42205976666667,-120.32082053333333,3
251,Chemung,42.110717,-76.80218113333332,3
252,Chenango,42.4275723,-75.68960510000001,3
253,Cherokee,34.90262298846154,-87.86793680576922,52
254,Cherry,42.878655300000005,-100.55134195000001,2
255,Chesapeake City,36.83909150000001,-76.67535725,20
256,Cheshire,42.91912791428571,-72.30360224285712,7
257,Chester,38.6249038173913,-77.43038952608697,23
258,Chesterfield,36.95387260882354,-77.97601593823529,34
259,Cheyenne,41.152948466666665,-102.86453863333332,3
260,Chickasaw,38.4279652,-90.766455,2
261,Childress,34.47533875,-100.3106861,2
262,Chilton,32.86884925,-86.63781605,2
263,Chippewa,45.24711492,-89.92471185999999,5
264,Chisago,45.55281466666667,-93.02674685000001,6
265,Chittenden,44.492138222222216,-73.19262383333334,9
266,Choctaw,33.4332214,-92.52685974444444,9
267,Chouteau,34.272905,-110.747859,1
268,Christian,37.63982231111111,-91.72824685555554,9
269,Churchill,39.46984654,-118.18484882,5
270,Cibola,35.10332238333333,-107.66306453333334,6
271,Citrus,28.843553011764705,-82.4510605764706,17
272,Clackamas,45.36496193928571,-122.53549559642856,28
273,Claiborne,34.79422642857143,-87.31744078571428,7
274,Clallam,48.081305542857145,-123.51915391428574,7
275,Clare,43.9240279,-84.84429602,5
