,county,date,party,Latitude,Longitude,death_count,death_hthou,population
118,"Albany, NY",2000,blue,42.675512700000006,-73.7468473,1,0.16742846618782126,597270.0
119,"Albany, NY",2002,blue,42.6411497,-73.7612234,1,0.16742846618782126,597270.0
120,"Albany, NY",2003,blue,42.655854299999994,-73.7642027,1,0.16742846618782126,597270.0
121,"Albany, NY",2010,blue,42.663221,-73.77578299999998,1,0.16742846618782126,597270.0
122,"Albany, NY",2011,blue,42.665834000000004,-73.777721,2,0.3348569323756425,597270.0
123,"Albany, NY",2015,blue,42.661048,-73.757971,1,0.16742846618782126,597270.0
124,"Albany, NY",2018,blue,42.6674239,-73.7779156,1,0.16742846618782126,597270.0
125,"Albany, OR",2006,red,44.60789929999999,-123.0676459,1,1.6448721111933549,60795.0
126,"Albany, OR",2007,red,44.614305,-123.0729071,1,1.6448721111933549,60795.0
127,"Albany, OR",2019,red,44.6353841,-123.0846621,1,1.6448721111933549,60795.0
128,"Albany, TX",2013,red,32.718000599999996,-99.2880018,1,50.42864346949067,1983.0
129,"Albemarle, NC",2011,red,35.365630700000004,-80.20170920000002,1,5.9171597633136095,16900.0
130,"Albemarle, NC",2017,red,35.354889,-80.174516,1,5.9171597633136095,16900.0
131,"Albert Lea, MN",2019,red,43.6463072,-93.371178,1,5.695409499943046,17558.0
132,"Albertville, AL",2005,red,34.3405536,-86.16628709999998,1,2.6867275658248255,37220.0
133,"Albertville, AL",2011,red,34.269363,-86.2024657,1,2.6867275658248255,37220.0
134,"Albertville, AL",2013,red,34.309551899999995,-86.194175,1,2.6867275658248255,37220.0
135,"Albertville, AL",2015,red,34.268116,-86.21996970000002,1,2.6867275658248255,37220.0
136,"Albertville, AL",2020,red,34.247001999999995,-86.30782815,2,5.373455131649651,37220.0
137,"Albion, IL",2018,red,38.3782722,-88.0495445,1,52.13764337851929,1918.0
138,"Albion, MI",2020,red,42.2451033,-84.7502751,1,11.280315848843767,8865.0
139,"Albrightsville, PA",2003,red,40.9941278,-75.53055440000001,1,1818.181818181818,55.0
140,"Albuquerque, NM",2000,blue,35.116641125,-106.581029825,4,0.5273406343644161,758523.0
141,"Albuquerque, NM",2001,blue,35.14312253999999,-106.55737118000002,5,0.6591757929555202,758523.0
142,"Albuquerque, NM",2002,blue,35.115132583333335,-106.63667315,6,0.7910109515466243,758523.0
143,"Albuquerque, NM",2003,blue,35.11615015,-106.58838268333334,6,0.7910109515466243,758523.0
144,"Albuquerque, NM",2004,blue,35.09463191428572,-106.63116317142858,7,0.9228461101377282,758523.0
145,"Albuquerque, NM",2005,blue,35.11575721999999,-106.6343089,5,0.6591757929555202,758523.0
146,"Albuquerque, NM",2006,blue,35.06636548,-106.65900178,5,0.6591757929555202,758523.0
147,"Albuquerque, NM",2007,blue,35.0955588,-106.610398075,4,0.5273406343644161,758523.0
148,"Albuquerque, NM",2008,blue,35.096792099999995,-106.58161390000001,4,0.5273406343644161,758523.0
149,"Albuquerque, NM",2009,blue,35.04735350000001,-106.71553390000001,3,0.39550547577331213,758523.0
150,"Albuquerque, NM",2010,blue,35.112408990909096,-106.63477862727272,11,1.4501867445021444,758523.0
151,"Albuquerque, NM",2011,blue,35.10721963333334,-106.63170000000001,6,0.7910109515466243,758523.0
152,"Albuquerque, NM",2012,blue,35.085144283333335,-106.65870421666666,6,0.7910109515466243,758523.0
153,"Albuquerque, NM",2013,blue,35.12795703333333,-106.59327471111112,9,1.1865164273199362,758523.0
154,"Albuquerque, NM",2014,blue,35.08665427272727,-106.64714763636363,11,1.4501867445021444,758523.0
155,"Albuquerque, NM",2015,blue,35.06703677142857,-106.64679097142857,7,0.9228461101377282,758523.0
156,"Albuquerque, NM",2016,blue,35.0881419875,-106.64696145,8,1.0546812687288323,758523.0
157,"Albuquerque, NM",2017,blue,35.10466917777778,-106.6152128222222,18,2.3730328546398725,758523.0
158,"Albuquerque, NM",2018,blue,35.33143069166666,-106.45377462500004,12,1.5820219030932485,758523.0
159,"Albuquerque, NM",2019,blue,35.099192025,-106.5993125625,8,1.0546812687288323,758523.0
160,"Albuquerque, NM",2020,blue,35.106257530769234,-106.61257932307691,13,1.7138570616843525,758523.0
161,"Alda, NE",2006,red,40.8139157,-98.4373099,1,151.5151515151515,660.0
162,"Aledo, TX",2015,red,32.718713,-97.6318734,1,13.22226629644321,7563.0
163,"Alex, OK",2011,red,35.000399,-97.8857623,1,182.4817518248175,548.0
164,"Alexander City, AL",2012,red,32.9002203,-85.9397309,1,10.843634786380393,9222.0
165,"Alexander City, AL",2014,red,32.9167857,-85.95276109999998,1,10.843634786380393,9222.0
166,"Alexander, AR",2009,blue,34.646442900000004,-92.4444347,1,32.71180896303566,3057.0
167,"Alexander, AR",2012,blue,34.6127006,-92.4627843,1,32.71180896303566,3057.0
168,"Alexander, AR",2014,blue,34.6380472,-92.4446783,1,32.71180896303566,3057.0
169,"Alexander, NY",2020,red,42.900791999999996,-78.257643,1,202.02020202020202,495.0
170,"Alexandria, AL",2011,red,33.751830299999995,-85.9189663,1,23.798191337458352,4202.0
171,"Alexandria, AL",2019,red,33.8280691,-85.9859676,1,23.798191337458352,4202.0
172,"Alexandria, KY",2002,red,38.9576429,-84.3931122,1,10.595465140919687,9438.0
173,"Alexandria, LA",2003,red,31.29338,-92.44763,1,1.217567057505692,82131.0
174,"Alexandria, LA",2005,red,31.296857,-92.4802447,1,1.217567057505692,82131.0
175,"Alexandria, LA",2007,red,31.3077212,-92.4464652,1,1.217567057505692,82131.0
176,"Alexandria, LA",2015,red,31.267949100000003,-92.4447409,1,1.217567057505692,82131.0
177,"Alexandria, LA",2016,red,31.339106,-92.5168188,1,1.217567057505692,82131.0
178,"Alexandria, MN",2016,red,45.888259999999995,-95.3745575,1,4.795933048774639,20851.0
179,"Alexandria, VA",2004,blue,38.8138529,-77.1113368,1,0.6248633111506858,160035.0
180,"Alexandria, VA",2005,blue,38.8263874,-77.06275129999999,1,0.6248633111506858,160035.0
