,city,%_change,party,year,value
231,"Tulsa, OK",49.999999999999986,red,2005,0.29759513372437335
232,"Colorado Springs, CO",66.6666666666667,red,2005,0.6410811191994179
233,"Bakersfield, CA",550.0000000000001,red,2005,0.6964249027616729
234,"Mesa, AZ",300.0,red,2005,0.6043501121069459
235,"Chattanooga, TN",0.0,red,2005,0.24559042393818978
236,"Spokane, WA",100.0,red,2005,
237,"Pensacola, FL",100.0,red,2005,0.5807200929152149
238,"Corpus Christi, TX",400.0,red,2005,0.29288151478319446
239,"Huntsville, AL",300.0,red,2005,1.2915057665732477
240,"Springfield, MO",100.0,red,2005,
241,"St. Petersburg, FL",149.99999999999994,red,2005,0.7597196634441892
242,"Lubbock, TX",199.99999999999997,red,2005,1.5237804994190587
243,"Chandler, AZ",0.0,red,2005,
244,"Killeen, TX",200.00000000000006,red,2005,
245,United States,102.08603018013629,,2005,0.368168828310047
246,"Los Angeles, CA",-43.75,blue,2006,0.08583372836356046
247,"Chicago, IL",42.85714285714286,blue,2006,0.28815181958653213
248,"Miami, FL",75.0,blue,2006,0.04700745820331854
249,"Dallas, TX",1100.0,blue,2006,0.12209460622658072
250,"Philadelphia, PA",-27.27272727272727,blue,2006,0.35474302060844104
251,"Houston, TX",342.8571428571429,blue,2006,0.25704731947383147
252,"Atlanta, GA",200.00000000000006,blue,2006,0.2486253884771695
253,"Phoenix, AZ",280.0,red,2006,0.22048831301696856
254,"Seattle, WA",50.00000000000002,blue,2006,0.08233242264525842
255,"San Francisco, CA",33.333333333333336,blue,2006,0.1664927280138722
256,"Detroit, MI",-10.000000000000012,blue,2006,0.4258694693041804
257,"San Diego, CA",9.090909090909092,blue,2006,0.09344880282738698
258,"Minneapolis, MN",-16.666666666666675,blue,2006,0.13667004127776922
259,"Tampa, FL",-12.500000000000005,blue,2006,0.0356602858528514
260,"Denver, CO",166.66666666666666,blue,2006,0.17938725618581075
261,"Brooklyn, NY",-77.77777777777777,blue,2006,0.1901755320160508
262,"Queens, NY",33.33333333333334,blue,2006,0.042862274083668876
263,"Baltimore, MD",-19.999999999999993,blue,2006,0.27643349194472805
264,"Riverside, CA",0.0,blue,2006,0.14390221556647828
265,"Las Vegas, NV",750.0000000000002,blue,2006,0.5788586354854814
266,"Portland, OR",-75.00000000000001,blue,2006,0.3409983261853589
267,"Kansas City, MO",85.71428571428572,red,2006,0.4951656360000272
268,"Virginia Beach, VA",300.0,red,2006,0.13510017340107255
269,"Jacksonville, FL",400.0,red,2006,0.2594502594935012
270,"Oklahoma City, OK",37.50000000000001,red,2006,0.20920545858882547
271,"Sarasota, FL",0.0,red,2006,
272,"Tulsa, OK",49.999999999999986,red,2006,0.44639270058656
273,"Colorado Springs, CO",66.6666666666667,red,2006,0.16027027979985448
274,"Bakersfield, CA",550.0000000000001,red,2006,0.6964249027616729
275,"Mesa, AZ",300.0,red,2006,0.8058001494759277
276,"Chattanooga, TN",0.0,red,2006,0.24559042393818978
277,"Spokane, WA",100.0,red,2006,0.7443374528276139
278,"Pensacola, FL",100.0,red,2006,
279,"Corpus Christi, TX",400.0,red,2006,0.8786445443495834
280,"Huntsville, AL",300.0,red,2006,0.6457528832866238
281,"Springfield, MO",100.0,red,2006,
282,"St. Petersburg, FL",149.99999999999994,red,2006,
283,"Lubbock, TX",199.99999999999997,red,2006,0.38094512485476467
284,"Chandler, AZ",0.0,red,2006,
285,"Killeen, TX",200.00000000000006,red,2006,
286,United States,102.08603018013629,,2006,0.3968095546592962
287,"Los Angeles, CA",-43.75,blue,2007,0.16386439051225177
288,"Chicago, IL",42.85714285714286,blue,2007,0.34578218350383855
289,"Miami, FL",75.0,blue,2007,0.04700745820331854
290,"Dallas, TX",1100.0,blue,2007,0.24418921245316144
291,"Philadelphia, PA",-27.27272727272727,blue,2007,0.39021732266928516
292,"Houston, TX",342.8571428571429,blue,2007,0.4039315020303066
293,"Atlanta, GA",200.00000000000006,blue,2007,0.03825005976571838
294,"Phoenix, AZ",280.0,red,2007,0.14699220867797902
295,"Seattle, WA",50.00000000000002,blue,2007,0.0548882817635056
296,"San Francisco, CA",33.333333333333336,blue,2007,0.22199030401849626
297,"Detroit, MI",-10.000000000000012,blue,2007,0.2555216815825082
298,"San Diego, CA",9.090909090909092,blue,2007,0.2803464084821609
299,"Minneapolis, MN",-16.666666666666675,blue,2007,
300,"Tampa, FL",-12.500000000000005,blue,2007,
301,"Denver, CO",166.66666666666666,blue,2007,0.17938725618581075
302,"Brooklyn, NY",-77.77777777777777,blue,2007,0.15214042561284066
303,"Queens, NY",33.33333333333334,blue,2007,0.08572454816733775
304,"Baltimore, MD",-19.999999999999993,blue,2007,0.6450114812043655
305,"Riverside, CA",0.0,blue,2007,
306,"Las Vegas, NV",750.0000000000002,blue,2007,0.48238219623790124
307,"Portland, OR",-75.00000000000001,blue,2007,0.048714046597908414
308,"Kansas City, MO",85.71428571428572,red,2007,0.4332699315000238
309,"Virginia Beach, VA",300.0,red,2007,0.13510017340107255
310,"Jacksonville, FL",400.0,red,2007,0.9513176181428378
311,"Oklahoma City, OK",37.50000000000001,red,2007,0.41841091717765094
312,"Sarasota, FL",0.0,red,2007,0.2831878455776678
313,"Tulsa, OK",49.999999999999986,red,2007,0.29759513372437335
314,"Colorado Springs, CO",66.6666666666667,red,2007,0.16027027979985448
315,"Bakersfield, CA",550.0000000000001,red,2007,1.0446373541425094
316,"Mesa, AZ",300.0,red,2007,0.8058001494759277
317,"Chattanooga, TN",0.0,red,2007,0.24559042393818978
318,"Spokane, WA",100.0,red,2007,0.49622496855174264
319,"Pensacola, FL",100.0,red,2007,0.29036004645760743
320,"Corpus Christi, TX",400.0,red,2007,1.1715260591327779
321,"Huntsville, AL",300.0,red,2007,0.6457528832866238
322,"Springfield, MO",100.0,red,2007,
323,"St. Petersburg, FL",149.99999999999994,red,2007,0.3798598317220946
324,"Lubbock, TX",199.99999999999997,red,2007,0.38094512485476467
325,"Chandler, AZ",0.0,red,2007,
326,"Killeen, TX",200.00000000000006,red,2007,
327,United States,102.08603018013629,,2007,0.39205765291110756
328,"Los Angeles, CA",-43.75,blue,2008,0.20287972158659745
329,"Chicago, IL",42.85714285714286,blue,2008,0.34578218350383855
330,"Miami, FL",75.0,blue,2008,0.04700745820331854
331,"Dallas, TX",1100.0,blue,2008,0.1569787794341752
332,"Philadelphia, PA",-27.27272727272727,blue,2008,0.2128458123650646
333,"Houston, TX",342.8571428571429,blue,2008,0.38557097921074723
334,"Atlanta, GA",200.00000000000006,blue,2008,0.1912502988285919
335,"Phoenix, AZ",280.0,red,2008,0.07349610433898951
336,"Seattle, WA",50.00000000000002,blue,2008,
337,"San Francisco, CA",33.333333333333336,blue,2008,0.0832463640069361
338,"Detroit, MI",-10.000000000000012,blue,2008,0.36908687339695634
339,"San Diego, CA",9.090909090909092,blue,2008,0.15574800471231162
340,"Minneapolis, MN",-16.666666666666675,blue,2008,0.1708375515972115
341,"Tampa, FL",-12.500000000000005,blue,2008,0.10698085755855417
342,"Denver, CO",166.66666666666666,blue,2008,0.2152647074229729
343,"Brooklyn, NY",-77.77777777777777,blue,2008,0.34231595762889144
344,"Queens, NY",33.33333333333334,blue,2008,
345,"Baltimore, MD",-19.999999999999993,blue,2008,0.3685779892596374
346,"Riverside, CA",0.0,blue,2008,0.14390221556647828
347,"Las Vegas, NV",750.0000000000002,blue,2008,0.2894293177427407
348,"Portland, OR",-75.00000000000001,blue,2008,0.09742809319581683
349,"Kansas City, MO",85.71428571428572,red,2008,0.7427484540000409
350,"Virginia Beach, VA",300.0,red,2008,
351,"Jacksonville, FL",400.0,red,2008,1.1242844578051718
352,"Oklahoma City, OK",37.50000000000001,red,2008,0.3138081878832382
353,"Sarasota, FL",0.0,red,2008,0.1415939227888339
354,"Tulsa, OK",49.999999999999986,red,2008,0.29759513372437335
355,"Colorado Springs, CO",66.6666666666667,red,2008,0.16027027979985448
356,"Bakersfield, CA",550.0000000000001,red,2008,0.34821245138083645
357,"Mesa, AZ",300.0,red,2008,1.2087002242138918
358,"Chattanooga, TN",0.0,red,2008,
359,"Spokane, WA",100.0,red,2008,0.24811248427587132
