,county,date,Latitude,Longitude,death_count
144,Albert Lea,2019,43.6463072,-93.371178,1
145,Albertville,2005,34.3405536,-86.16628709999999,1
146,Albertville,2011,34.269363,-86.2024657,1
147,Albertville,2013,34.309551899999995,-86.194175,1
148,Albertville,2015,34.268116,-86.21996970000001,1
149,Albertville,2020,34.247001999999995,-86.30782815,2
150,Albion,2008,44.536860499999996,-69.42034759999999,1
151,Albion,2010,44.2843182,-90.88324420000001,1
152,Albion,2018,38.3782722,-88.0495445,1
153,Albion,2020,42.2451033,-84.7502751,1
154,Albrightsville,2003,40.9941278,-75.53055440000001,1
155,Albuquerque,2000,35.116641125,-106.581029825,4
156,Albuquerque,2001,35.14312253999999,-106.55737117999999,5
157,Albuquerque,2002,35.115132583333335,-106.63667315,6
158,Albuquerque,2003,35.11615015,-106.58838268333334,6
159,Albuquerque,2004,35.09463191428572,-106.63116317142858,7
160,Albuquerque,2005,35.11575721999999,-106.6343089,5
161,Albuquerque,2006,35.06636548,-106.65900178000001,5
162,Albuquerque,2007,35.0955588,-106.610398075,4
163,Albuquerque,2008,35.096792099999995,-106.58161390000001,4
164,Albuquerque,2009,35.04735350000001,-106.71553390000001,3
165,Albuquerque,2010,35.112408990909096,-106.63477862727272,11
166,Albuquerque,2011,35.10721963333334,-106.63170000000001,6
167,Albuquerque,2012,35.085144283333335,-106.65870421666666,6
168,Albuquerque,2013,35.12795703333333,-106.59327471111112,9
169,Albuquerque,2014,35.08665427272727,-106.64714763636363,11
170,Albuquerque,2015,35.06703677142857,-106.64679097142857,7
171,Albuquerque,2016,35.0881419875,-106.64696145,8
172,Albuquerque,2017,35.10466917777778,-106.6152128222222,18
173,Albuquerque,2018,35.33143069166666,-106.45377462500004,12
174,Albuquerque,2019,35.099192025,-106.5993125625,8
175,Albuquerque,2020,35.106257530769234,-106.61257932307691,13
176,Alda,2006,40.8139157,-98.4373099,1
177,Aldie,2001,38.9464211,-77.5629579,1
178,Aldie,2016,38.9094148,-77.5697457,1
